YearStart,YearEnd,LocationAbbr,LocationDesc,CountyName,DataSource,Topic,Category,Question,Response,Age,Sex,Race_Ethnicity,Risk_Factor,Risk_Factor_Repsonse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,FootnoteText,Url,FootnoteType
2022,2022,MO,Missouri,,Medicare FFS MA,,,Percentage of people with diagnosed cataract who had a treatment claim,Cataract surgery,65 years and older,Both sexes,North American Native,Cataract,Total,%,Crude Prevalence,18.59,,,14.68,23.04,70,,,
2022,2022,MO,Missouri,,Medicare FFS MA,,,Percentage of people with diagnosed cataract who had a treatment claim,Cataract surgery,65 years and older,Both sexes,All races,Cataract,Total,%,Crude Prevalence,15.47,,,15.35,15.58,56880,,,
2022,2022,MO,Missouri,,Medicare FFS MA,,,Percentage of people with diagnosed cataract who had a treatment claim,Cataract surgery,65 years and older,Both sexes,Asian,Cataract,Total,%,Crude Prevalence,15.37,,,14.16,16.65,510,,,
2022,2022,MO,Missouri,,Medicare FFS MA,,,Percentage of people with diagnosed cataract who had a treatment claim,Cataract surgery,65 years and older,Both sexes,"Black, non-Hispanic",Cataract,Total,%,Crude Prevalence,12.54,,,12.15,12.94,3400,,,
2022,2022,MO,Missouri,,Medicare FFS MA,,,Percentage of people with diagnosed cataract who had a treatment claim,Cataract surgery,65 years and older,Both sexes,"Hispanic, any race",Cataract,Total,%,Crude Prevalence,16.35,,,15.2,17.55,640,,,
2022,2022,MO,Missouri,,Medicare FFS MA,,,Percentage of people with diagnosed cataract who had a treatment claim,Cataract surgery,65 years and older,Both sexes,Other,Cataract,Total,%,Crude Prevalence,15.67,,,13.76,17.73,210,,,
2022,2022,MO,Missouri,,Medicare FFS MA,,,Percentage of people with diagnosed cataract who had a treatment claim,Cataract surgery,65 years and older,Both sexes,"White, non-Hispanic",Cataract,Total,%,Crude Prevalence,15.69,,,15.57,15.82,52060,,,
,,,,,,,,,,,,,,,,,,,,,,,Medicare FFS+MA,https://www.cdc.gov/vision-health-data/data-sources/medicare.html,DataSource
,,,,,,,,,,,,,,,,,,,,,,,Data may not be available for all states.,,GlobalNote
,,,,,,,,,,,,,,,,,,,,,,,Missing bars in the chart view indicate data not available or suppressed. Missing locations or footnoted cells in the table view indicate data not reported or suppressed.,,GlobalNote
,,,,,,,,,,,,,,,,,,,,,,,"The VEHSS Medicare dataset was last updated July, 10 2025.",,GlobalNote
,,,,,,,,,,,,,,,,,,,,,,,Data Source Information,https://www.cdc.gov/vision-health-data/data-sources/medicare.html,IndicatorResources1
,,,,,,,,,,,,,,,,,,,,,,,"CI = 95% confidence interval indicates that with repeated sampling,  95% of the calculated intervals will contain the value.",,MeasureDefinition
,,,,,,,,,,,,,,,,,,,,,,,"People = The estimated number of Medicare beneficiaries identified with the selected indicator in one year of Medicare claims. Diagnosed conditions are identified by the presence of at least one included diagnosis code. Eyecare services are identified as at least one instance of a service identified using procedure, diagnosis, and drug codes. ",,MeasureDefinition
,,,,,,,,,,,,,,,,,,,,,,,About the Vision & Eye Health Surveillance System,https://wwwdev.cdc.gov/vision-health-data/about-vehss/?CDC_AAref_Val=https://wwwdev.cdc.gov/visionhealth/vehss/project/index.html,RelatedLinks
,,,,,,,,,,,,,,,,,,,,,,,About the Vision Health Initiative,https://www.cdc.gov/vision-health/?CDC_AAref_Val=https://wwwdev.cdc.gov/visionhealth/home/index.html,RelatedLinks
,,,,,,,,,,,,,,,,,,,,,,,"Vision & Eye Health Surveillance System (VEHSS), Centers for Disease Control and Prevention, Vision Health Initiative, [online] [accessed Jan 27, 2026]",https://www.cdc.gov/visionhealth/vehss/project/index.html,SuggestedCitation
