YearStart,YearEnd,LocationAbbr,LocationDesc,CountyName,DataSource,Topic,Category,Question,Response,Age,Sex,Race_Ethnicity,Risk_Factor,Risk_Factor_Repsonse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size
2022,2022,DC,District Of Columbia,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,,,Value suppressed,,,
2022,2022,IN,Indiana,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,Asian,All patients,Total,%,Crude Prevalence,14.13,,,13.35,14.93,1070
2022,2022,MS,Mississippi,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,Asian,All patients,Total,%,Crude Prevalence,10.35,,,9.19,11.6,260
2022,2022,AR,Arkansas,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,11.66,,,9.95,13.56,150
2022,2022,IL,Illinois,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,All races,All patients,Total,%,Crude Prevalence,14.35,,,14.3,14.41,244400
2022,2022,PA,Pennsylvania,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,15.88,,,15.83,15.94,293400
2022,2022,UT,Utah,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,10.88,,,9.32,12.6,160
2022,2022,WA,Washington,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,All races,All patients,Total,%,Crude Prevalence,13.5,,,13.43,13.56,146500
2022,2022,VI,U.S. Virgin Islands,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,18.12,,,16.24,20.12,280
2022,2022,VI,U.S. Virgin Islands,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,13.04,,,11.76,14.41,330
2022,2022,CO,Colorado,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,10.08,,,9.85,10.3,6990
2022,2022,MN,Minnesota,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,Other,All patients,Total,%,Crude Prevalence,16.12,,,15.06,17.23,730
2022,2022,NH,New Hampshire,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,24.91,,,22.6,27.32,330
2022,2022,NC,North Carolina,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,20.12,,,19.97,20.27,54950
2022,2022,OK,Oklahoma,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,10.67,,,10.58,10.76,50100
2022,2022,OR,Oregon,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,12.27,,,12.19,12.35,78040
2022,2022,TX,Texas,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,12.3,,,12.26,12.35,263500
2022,2022,WY,Wyoming,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,10.51,,,10.31,10.72,9060
2022,2022,OK,Oklahoma,,Medicare FFS MA,,,Annual prevalence of diagnosed glaucoma,All Glaucoma,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,10.68,,,10.17,11.21,1470
