YearStart,YearEnd,LocationAbbr,LocationDesc,CountyName,DataSource,Topic,Category,Question,Response,Age,Sex,Race_Ethnicity,Risk_Factor,Risk_Factor_Repsonse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size
2022,2022,AK,Alaska,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,21.35,,,19.69,23.07,490
2022,2022,NM,New Mexico,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,27.51,,,26.39,28.64,1700
2022,2022,NC,North Carolina,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,36.6,,,36.52,36.68,505700
2022,2022,AK,Alaska,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,21.95,,,20,24,370
2022,2022,CT,Connecticut,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,40.91,,,40.78,41.03,237200
2022,2022,ME,Maine,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,24.57,,,22.29,26.96,330
2022,2022,ND,North Dakota,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,27.93,,,25.12,30.88,270
2022,2022,SD,South Dakota,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,38.42,,,38.18,38.66,61000
2022,2022,VI,U.S. Virgin Islands,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,31.38,,,25.55,37.68,80
2022,2022,CA,California,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,36.16,,,35.88,36.45,39320
2022,2022,CT,Connecticut,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,34.87,,,34.42,35.32,15140
2022,2022,MN,Minnesota,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,29.11,,,28.28,29.95,3320
2022,2022,WV,West Virginia,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,21.36,,,13.9,30.53,20
2022,2022,AR,Arkansas,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,27.28,,,26.39,28.18,2630
2022,2022,HI,Hawaii,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,36.97,,,36.62,37.32,26810
2022,2022,LA,Louisiana,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,31.98,,,31.78,32.18,69050
2022,2022,OR,Oregon,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,34.32,,,34.21,34.42,264500
2022,2022,VT,Vermont,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,30.32,,,27.23,33.55,250
2022,2022,IA,Iowa,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,42.82,,,42.69,42.95,240500
2022,2022,IA,Iowa,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,31.47,,,30.57,32.37,3250
2022,2022,NE,Nebraska,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,40.31,,,40.13,40.48,123000
2022,2022,OH,Ohio,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,36.77,,,35.77,37.77,3300
2022,2022,WA,Washington,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,33.83,,,33.47,34.19,22800
2022,2022,AZ,Arizona,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,31.48,,,31.25,31.71,49630
2022,2022,DC,District Of Columbia,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,,,Value suppressed,,,
2022,2022,NE,Nebraska,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,32.9,,,31.97,33.83,3240
2022,2022,NE,Nebraska,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,29.09,,,28.16,30.04,2650
2022,2022,NH,New Hampshire,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,35.39,,,35.21,35.58,93230
2022,2022,OH,Ohio,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,23.75,,,20.64,27.08,170
2022,2022,AZ,Arizona,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,35.18,,,34.55,35.81,7810
2022,2022,DC,District Of Columbia,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,37.37,,,37.01,37.73,26120
2022,2022,FL,Florida,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,34.17,,,34.12,34.21,1433000
2022,2022,IL,Illinois,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,35.73,,,35.65,35.81,516800
2022,2022,IN,Indiana,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,32.42,,,32.34,32.51,362200
2022,2022,MD,Maryland,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,23.82,,,19.94,28.06,110
2022,2022,NY,New York,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,39.13,,,38.92,39.35,77510
2022,2022,WI,Wisconsin,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,37.64,,,37.54,37.73,400300
2022,2022,PR,Puerto Rico,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,30.25,,,22.17,39.35,40
2022,2022,FL,Florida,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,34.96,,,34.84,35.07,227000
2022,2022,GA,Georgia,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,34.98,,,34.89,35.07,363700
2022,2022,IL,Illinois,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,37.97,,,37.2,38.75,5780
2022,2022,MN,Minnesota,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,35.97,,,35.87,36.07,332100
2022,2022,NM,New Mexico,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,34.3,,,34.1,34.5,75460
2022,2022,SC,South Carolina,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,35.51,,,35.4,35.62,264900
2022,2022,TN,Tennessee,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,32.98,,,31.49,34.5,1260
2022,2022,UT,Utah,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,32.95,,,31.85,34.06,2310
2022,2022,VA,Virginia,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,35.63,,,35.19,36.07,16230
