YearStart,YearEnd,LocationAbbr,LocationDesc,CountyName,DataSource,Topic,Category,Question,Response,Age,Sex,Race_Ethnicity,Risk_Factor,Risk_Factor_Repsonse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size
2022,2022,SC,South Carolina,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Other,All patients,Total,%,Crude Prevalence,12.41,,,11.28,13.62,390
2022,2022,TN,Tennessee,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,8.56,,,8.04,9.1,930
2022,2022,TN,Tennessee,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,10.1,,,10.03,10.16,89980
2022,2022,DC,District Of Columbia,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Asian,All patients,Total,%,Crude Prevalence,11.96,,,10.23,13.85,150
2022,2022,FL,Florida,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Other,All patients,Total,%,Crude Prevalence,13.45,,,13.06,13.85,3820
2022,2022,MD,Maryland,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Asian,All patients,Total,%,Crude Prevalence,13.73,,,13.37,14.09,4870
2022,2022,MN,Minnesota,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,8.54,,,7.96,9.15,750
2022,2022,NY,New York,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Asian,All patients,Total,%,Crude Prevalence,23.48,,,23.29,23.67,44360
2022,2022,IA,Iowa,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,7.96,,,7.31,8.64,510
2022,2022,KS,Kansas,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,8.22,,,7.8,8.64,1370
2022,2022,MO,Missouri,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,All races,All patients,Total,%,Crude Prevalence,10.7,,,10.63,10.76,100300
2022,2022,NH,New Hampshire,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,All races,All patients,Total,%,Crude Prevalence,11.11,,,10.98,11.24,25700
2022,2022,OK,Oklahoma,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Other,All patients,Total,%,Crude Prevalence,11.18,,,10.08,12.35,340
2022,2022,SD,South Dakota,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,10.14,,,9.98,10.3,14020
2022,2022,WY,Wyoming,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,12.13,,,11.91,12.35,10450
2022,2022,GA,Georgia,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Other,All patients,Total,%,Crude Prevalence,10.48,,,9.78,11.21,750
2022,2022,MD,Maryland,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,All races,All patients,Total,%,Crude Prevalence,11.68,,,11.61,11.75,88830
2022,2022,MS,Mississippi,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Other,All patients,Total,%,Crude Prevalence,9.7,,,7.9,11.75,90
2022,2022,ND,North Dakota,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,8.15,,,5.71,11.21,30
2022,2022,PA,Pennsylvania,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Asian,All patients,Total,%,Crude Prevalence,11.68,,,11.35,12.03,4050
2022,2022,VA,Virginia,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Asian,All patients,Total,%,Crude Prevalence,11.44,,,11.14,11.74,4930
2022,2022,WV,West Virginia,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,All races,All patients,Total,%,Crude Prevalence,11.92,,,11.8,12.03,37950
2022,2022,WV,West Virginia,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,11.92,,,11.8,12.03,36570
2022,2022,AL,Alabama,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,All races,All patients,Total,%,Crude Prevalence,10.43,,,10.36,10.5,79040
2022,2022,AK,Alaska,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,9.21,,,8.03,10.5,200
2022,2022,HI,Hawaii,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,All races,All patients,Total,%,Crude Prevalence,15.58,,,15.43,15.73,34170
2022,2022,IL,Illinois,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,9.54,,,9.38,9.71,11520
2022,2022,IA,Iowa,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,7.36,,,4.98,10.4,30
2022,2022,NV,Nevada,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,All races,All patients,Total,%,Crude Prevalence,9.26,,,9.17,9.35,39080
2022,2022,NM,New Mexico,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Other,All patients,Total,%,Crude Prevalence,8.26,,,7.22,9.39,210
2022,2022,PA,Pennsylvania,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Other,All patients,Total,%,Crude Prevalence,14.7,,,13.99,15.42,1410
2022,2022,TN,Tennessee,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,9.54,,,9.37,9.71,10960
2022,2022,TX,Texas,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,11.81,,,10.8,12.88,450
2022,2022,WI,Wisconsin,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,6.22,,,5.86,6.6,1020
2022,2022,AR,Arkansas,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,9.06,,,7.54,10.78,110
2022,2022,IN,Indiana,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,7.92,,,7.71,8.14,4770
2022,2022,LA,Louisiana,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,10.83,,,10.37,11.31,1830
2022,2022,NJ,New Jersey,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,15.47,,,15.27,15.68,18460
2022,2022,NY,New York,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,15.34,,,15.29,15.39,285800
2022,2022,NC,North Carolina,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Asian,All patients,Total,%,Crude Prevalence,10.35,,,9.92,10.78,2030
2022,2022,RI,Rhode Island,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Other,All patients,Total,%,Crude Prevalence,13.85,,,12.16,15.68,210
2022,2022,VT,Vermont,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,Other,All patients,Total,%,Crude Prevalence,12.46,,,9.91,15.39,70
2022,2022,WV,West Virginia,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,11.75,,,10.19,13.47,180
2022,2022,US,National,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,11.3,,,11.29,11.31,4111000
2022,2022,CO,Colorado,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,9.23,,,7.74,10.89,120
2022,2022,IN,Indiana,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,All races,All patients,Total,%,Crude Prevalence,10.43,,,10.37,10.49,101100
2022,2022,MD,Maryland,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,10.56,,,7.34,14.58,30
2022,2022,OK,Oklahoma,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,8.47,,,8.15,8.8,2450
2022,2022,PA,Pennsylvania,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,9.84,,,9.68,9.99,14470
2022,2022,PA,Pennsylvania,,Medicare FFS MA,,,Annual prevalence of diagnosed other retinal disorders,All Other retinal disorders,65 years and older,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,12.81,,,12.76,12.86,236700
